Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
"It  an employee was using a vehicle mounted bucket lift to remove a gas pump copper. The employee was looking over the edge of the bucket and moving the tucking upwards when his neck became caught between the edge of the bucket and the canopy above. For unknown reasons, the bucket could not be lowered using the controls mounted near the bucket or the remote controls. The employee was killed by asphyxiation.",High,Caught in or between caused by Materials Handling Equip./Method,"CAUGHT IN, NECK, ASPHYXIATED, AERIAL LIFT, MATERIAL HANDLING, ELEVATED WORK PLATFORM",
"It  a masonry employee, was working from 2 x 10 #2 lumber wooden platform on a tubular welded frame scaffold assembly installing a masonry facade for a chimney.The wooden platform broke mid point and the employee fell 28 feet to the ground. The employee was killed from multiple broken bones. en bones.",High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","FALL, SCAFFOLD, FALL PROTECTION",
"It  an employee was washing the riding of a building. The left wooden pump jack pole, constructed of 2 by 4's, collapsed/snapped at one of the joints causing the employee to fall from the scaffold plank on to a paved driveway. The employee sustained fractured skull and was killed.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ELEVATED WORK PLATFORM, JACK, RESIDENTIAL CONSTRUCTION, SCAFFOLD, FALL",
It approximately  Employee was standing on the fourth or fifth rung of a ladder picking lives when he fell. Employee sustained a fatal head injury.,High,Fall (from elevation) caused by Ladder Failure/Slip,"STRUCK AGAINST, HEAD, FALL, LADDER",
It  an employee was struck and killed by a train while trying to cross the railroad tracks on a roller.,High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, TRAIN, ROLLER--CONST EQUIP, ROLLER--MACH/PART",
It  an employee was standing next to an open trench when the side wall of the trench collapsed and he become engulfed. The employee was killed from asphyxia.,High,Inhalation caused by Chemical Action/Reaction Expos,"TRENCH, ASPHYXIATED, CAUGHT IN",
It  an employee was re-adjusting his life line around the next crutch of the tree. Is the employee was grafting for his life line that he had re-adjusted when he lost his balance and fell approximately 35 feet to the ground. The employee was killed from fractures and internal injuries.,High,Fall (from elevation) caused by Insufficient /Lack/Protective Work Clothing/Equipment,"TREE TRIMMING, FALL, LANYARD, FALL PROTECTION",
"It approximately  two employees were guiding a cylindrical concrete manhood dissection into place on top of a concrete manhood base section. Is the concrete dissection was being lowered into the excavation, one side of the form came loose from the lifting bar system, swinging and striking the excavation wall and then the concrete base section of the manhood. The form detached from the lifting system, dropped on top of the concrete base section and striking Employee causing severe whole body trauma. Employee was killed.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCTURAL COLLAPSE, FALLING OBJECT, EXCAVATION, STRUCK BY",
"It  a 20-year old male employee was collecting residential waste and loading it into the garage truck. The truck was stopped (south bound) and there was waste which needed to be collected from both sides of the street and loaded into the truck. The employee replaced the waste bin on the east side of the street and was waiting for traffic going southbound to pass the garage truck. When the last car (south bound) passed, the employee was then struck by a semi-truck heading north while approximately two feet from the center line of the road. The employee was killed from multiple blunt force injuries sustained.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, GARBAGE TRUCK, RUN OVER, MOTOR VEHICLE",
It  an employee was responding to a call about a theft. There was a verbal confrontation or a possible assault by a patron. The employee suffered a heart attack and died.,High,Card-vascular/resp. fail. caused by Medical Emergency,HEART ATTACK,
"It approximately  Employee was walking up an exterior staircase at a single family residence. The dealing collapsed and Employee fell, landing on the ground, fracturing his hip. The employee later died from the injury.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STRUCK AGAINST, FALL, HIP, FRACTURE, COLLAPSE",
It  an employee was standing on a ladder jack scaffold and one of the support ladder collapsed. The employee sustained contusion to head and multiple body parts ground and was killed.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, LADDER, RESIDENTIAL CONSTRUCTION, SCAFFOLD",
"It approximately  Employee was loading plood into a press when his right index fingertips was caught, amputating it. Employee was hospitalized and surgery was pending.",Medium,Caught in or between caused by Materials Handling Equip./Method,"PRESS, FINGER, AMPUTATED, CAUGHT IN",
"It  an employee was removing a line lock, when he was stuck by a vehicle. The employee was killed as a result of the accident.",High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, MOTOR VEHICLE",
"It approximately  Employee, a cook, set an aerosol can of cooking spray on the hot drill next to the stove he was using to make omelet. The can united and Employee received second and third degree burns to his hands, face, ear, and scalp. Employee was hospitalized. hospitalized.",Medium,Burn caused by Temperature +/- Tolerance Lev.,"SCALP, HAND, FACE, BURN, COOKER, EAR, EXPLOSION",
It approximately  Employee was working in a warehouse and had been missing for several hours. Employee was found wrapped under several bales of fibres weighing approximately 500 pounds each. Employee was killed due to suffocation.,High,Caught in or between caused by Work-Surface/Facility-Layout Condition,"PINNED, ASPHYXIATED, SUFFOCATED, STRUCK BY, CRUSHED",
"It  an employee was performing line clearance tree trimming in a residential subdivision. By all indications, the knot used to attach his climbing rope to his climbing saddle came undone and he fell approximately 35 feet to the ground below. The employee was killed from multiple internal injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"TREE TRIMMING, FALL PROTECTION, FALL",
"It  an employee was riding manlift and fell from the manlift tread step. The employee suffered from had head fractures, laceration, and an upper leg fracture. The employee was killed.",High,Fall (from elevation) caused by Materials Handling Equip./Method,"AERIAL LIFT, FRACTURE, LACERATION, LEAD, HEAD, FALL PROTECTION, FALL",
It  a crash employee tripped and fell into a water puddles when carrying bucket between days. The employee's foot was caught between the metal base beams and a piece of wood located between the days. In extension cord lowering a nearby vacuum was in the puddles. The employee was shocked and killed.,High,Shock caused by Work-Surface/Facility-Layout Condition,"TRIPPED, ELECTROCUTED, ELECTRIC SHOCK, FALL, WATER",
It  an employee was pointing tools and material down from the roof. The employee was not wearing PPE and fell approximately 40 feet. The employee was killed from blunt force trauma to the body and head.,High,Fall (from elevation) caused by Materials Handling Equip./Method,"PPE, HOIST, MATERIAL HANDLING, ROOF, RESIDENTIAL CONSTRUCTION, HEAD, FALL",
It  an employee was swimming and was within 10 to 15 feet from reaching the final destination when he drowned.,High,Workplace incident caused by Hazardous Work Condition,DROWNING,
It  an employee was operating an aerial lift pressing a surface to be painted. The employee drove the aerial lift off an uneven surface causing it to tip over. The employee was ejected from aerial lift. The employee suffered head trauma and later died from his injuries.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"AERIAL LIFT, FALL, ROLL-OVER",
